ObjectID,GlobalID,Date,Location,Unlisted Location,Monitor Name,Vernal Pool Name or ID number,Optional - Water Level (in.),DO (mg/L),DO (% sat.),Conductivity (µS/cm),Salinity (ppt),Temp (C),Water Quality Notes,Optional - Comments,CreationDate,Creator,EditDate,Editor,x,y,atmospheric_pressure_mmHg,ph
1,b3a8154f-d8b6-4846-8ebc-a50c6f3c3caa,1/25/19,ncos,,Joanna Tang,8,,8.71,94.9,551,0.3,19.4,Opaque,,1/26/19 18:13,joannatang@umail.ucsb.edu_ucsb,1/26/19 18:13,joannatang@umail.ucsb.edu_ucsb,-119.8817233,34.41987973,,
2,6ffee4e6-5d28-427f-b1f3-b60078062f88,1/25/19,ncos,,Joanna Tang,7,,9.32,101.3,526,0.3,19.4,Opaque,,1/26/19 18:13,joannatang@umail.ucsb.edu_ucsb,1/26/19 18:13,joannatang@umail.ucsb.edu_ucsb,-119.9079215,34.44000024,,
3,64d10b31-0f49-4c30-b6fe-c711baa7c604,1/25/19,ncos,,Joanna Tang,6,,9.97,108.6,582,0.3,19.4,Opaque,,1/26/19 18:13,joannatang@umail.ucsb.edu_ucsb,1/26/19 18:13,joannatang@umail.ucsb.edu_ucsb,-119.8811534,34.41920654,,
4,0f8987ed-8959-48d0-a9d9-70d03e4dfaaa,1/25/19,ncos,,Joanna Tang,5,,9.15,98.8,621,0.3,19,Opaque,,1/26/19 18:13,joannatang@umail.ucsb.edu_ucsb,1/26/19 18:13,joannatang@umail.ucsb.edu_ucsb,-119.8828994,34.42553818,,
5,5d247954-5bee-4b93-a00b-2bfaecfbe5cc,1/25/19,ncos,,Joanna Tang,4,,8.84,94.7,640,0.4,18.6,Opaque ,,1/26/19 18:13,joannatang@umail.ucsb.edu_ucsb,1/26/19 18:13,joannatang@umail.ucsb.edu_ucsb,-119.883325,34.4253232,,
6,e8115281-bb16-45e3-af84-338dbc1fb839,1/25/19,ncos,,Joanna Tang,3,,9.51,104.4,241.8,0.1,19.8,Opaque,,1/26/19 18:13,joannatang@umail.ucsb.edu_ucsb,1/26/19 18:13,joannatang@umail.ucsb.edu_ucsb,-119.8818181,34.4237845,,
7,b74e1729-0a7d-4b9f-b11d-c9cd612fb1bb,1/25/19,ncos,,Joanna Tang,2,,9.03,95.1,335.7,0.2,17.8,Opaque,,1/26/19 18:13,joannatang@umail.ucsb.edu_ucsb,1/26/19 18:13,joannatang@umail.ucsb.edu_ucsb,-119.8796078,34.41916932,,
8,e6a0b2da-7654-4e1a-b7e5-9e4e97b0ead8,1/25/19,ncos,,Joanna Tang,1,,8.49,88.8,306.1,0.2,17.5,Opaque,,1/26/19 18:13,joannatang@umail.ucsb.edu_ucsb,1/26/19 18:13,joannatang@umail.ucsb.edu_ucsb,-119.8793773,34.41875651,,
9,3c8531ed-cee0-4912-8a03-93dd69267d12,1/18/19,south_parcel,,Joanna Tang,8,,,,290.8,0.2,20.3,measurement taken in the afternoon; DO sensor broken,,1/31/19 18:08,joannatang@umail.ucsb.edu_ucsb,1/31/19 18:08,joannatang@umail.ucsb.edu_ucsb,0,0,,
10,ae43c607-ac76-4ad7-8f79-a862b6810b35,1/19/19,south_parcel,,Joanna Tang,7,,,,378.7,0.2,17.7,measurements taken in the afternoon; DO sensor broken,,1/31/19 18:09,joannatang@umail.ucsb.edu_ucsb,1/31/19 18:09,joannatang@umail.ucsb.edu_ucsb,0,0,,
11,1a5b92ef-0d6c-47cf-8b54-ac5da6731311,1/19/19,south_parcel,,Joanna Tang,6,,,,144,0.1,20.2,measurements taken in the afternoon; DO sensor broken,,1/31/19 18:10,joannatang@umail.ucsb.edu_ucsb,1/31/19 18:10,joannatang@umail.ucsb.edu_ucsb,0,0,,
12,657a5bcb-c06d-414f-85b2-67ef4d414559,1/19/19,south_parcel,,Joanna Tang,4,,,,222.7,0.1,18.8,measurements taken in the afternoon; DO sensor broken,,1/31/19 18:11,joannatang@umail.ucsb.edu_ucsb,1/31/19 18:11,joannatang@umail.ucsb.edu_ucsb,0,0,,
13,d7d3adc8-e54c-4deb-8fe4-aefcc1270288,1/19/19,south_parcel,,Joanna Tang,5,,,,172.1,0.1,21,measurements taken in the afternoon; DO sensor broken,,1/31/19 18:11,joannatang@umail.ucsb.edu_ucsb,1/31/19 18:11,joannatang@umail.ucsb.edu_ucsb,0,0,,
14,c449e9b1-53b5-47be-8231-19d33df26946,1/19/19,south_parcel,,Joanna Tang,3,,,,152.7,0.1,20.8,measurements taken in the afternoon; DO sensor broken,,1/31/19 18:13,joannatang@umail.ucsb.edu_ucsb,1/31/19 18:13,joannatang@umail.ucsb.edu_ucsb,0,0,,
15,5d215d67-c4e3-4e73-8570-9fdfa5d37556,1/19/19,south_parcel,,Joanna Tang,2,,,,266.1,0.1,19.5,measurements taken in the afternoon; DO sensor broken,,1/31/19 18:13,joannatang@umail.ucsb.edu_ucsb,1/31/19 18:13,joannatang@umail.ucsb.edu_ucsb,0,0,,
16,1c878b18-01d5-49da-89d4-85f77c2a4b71,1/19/19,south_parcel,,Joanna Tang,1,,,,362,0.2,18.1,measurements taken in the afternoon; DO sensor broken,,1/31/19 18:14,joannatang@umail.ucsb.edu_ucsb,1/31/19 18:14,joannatang@umail.ucsb.edu_ucsb,0,0,,
17,691e3422-43e0-4793-894b-b721cde0bb29,1/19/19,south_parcel,,Joanna Tang,SWW 1,,,,251.8,0.2,18.1,measurements taken in the afternoon; DO sensor broken,,1/31/19 18:14,joannatang@umail.ucsb.edu_ucsb,1/31/19 18:14,joannatang@umail.ucsb.edu_ucsb,0,0,,
18,8ed89aee-fe79-4066-8506-f05c3851cd90,1/26/19,south_parcel,,Joanna Tang,7,,3.89,44,343.8,0.2,21.4,opaque; measurements taken in afternoon,,1/31/19 18:17,joannatang@umail.ucsb.edu_ucsb,1/31/19 18:17,joannatang@umail.ucsb.edu_ucsb,0,0,,
19,0c35aba7-9b65-4362-84ba-cab3c9b83cbe,1/26/19,south_parcel,,Joanna Tang,8,,3.89,44,343.8,0.2,21.4,opaque; measurements taken in afternoon,,1/31/19 18:19,joannatang@umail.ucsb.edu_ucsb,1/31/19 18:19,joannatang@umail.ucsb.edu_ucsb,0,0,,
20,dee3ee22-0e7b-49ba-84b5-5623c9c100a0,1/26/19,south_parcel,,Joanna Tang,7,,3.59,37.2,402.1,0.2,17.1,opaque; measurements taken in afternoon,,1/31/19 18:19,joannatang@umail.ucsb.edu_ucsb,1/31/19 18:19,joannatang@umail.ucsb.edu_ucsb,0,0,,
21,454e4937-5b20-4625-8a0f-cdeb1d856547,1/26/19,south_parcel,,Joanna Tang,9,,10.7,118.8,304.3,0.2,23.6,not opaque; measurements taken in afternoon,,1/31/19 18:20,joannatang@umail.ucsb.edu_ucsb,1/31/19 18:20,joannatang@umail.ucsb.edu_ucsb,0,0,,
22,a9d9d751-2194-40b0-8fbd-63150a72bcb9,1/26/19,south_parcel,,Joanna Tang,6,,8.97,101.2,163.5,0.1,21.3,opaque; measurements taken in afternoon,,1/31/19 18:21,joannatang@umail.ucsb.edu_ucsb,1/31/19 18:21,joannatang@umail.ucsb.edu_ucsb,0,0,,
23,e3a3fe89-fcaf-44ef-8b97-bece48a7aa61,1/26/19,south_parcel,,Joanna Tang,4,,9.34,106.1,208,0.1,21.7,opaque; measurements taken in afternoon,,1/31/19 18:22,joannatang@umail.ucsb.edu_ucsb,1/31/19 18:22,joannatang@umail.ucsb.edu_ucsb,0,0,,
24,2d7ecccd-5948-47ba-8bc5-ab4ac882b2a7,1/26/19,south_parcel,,Joanna Tang,5,,6.67,72.2,273.3,0.1,19.1,opaque; measurements taken in afternoon,,1/31/19 18:22,joannatang@umail.ucsb.edu_ucsb,1/31/19 18:22,joannatang@umail.ucsb.edu_ucsb,0,0,,
25,5e824dea-c6cf-4685-89fe-659d19dd0131,1/26/19,south_parcel,,Joanna Tang,2,,7.6,84.7,319.2,0.2,20.6,opaque; measurements taken in afternoon,,1/31/19 18:23,joannatang@umail.ucsb.edu_ucsb,1/31/19 18:23,joannatang@umail.ucsb.edu_ucsb,0,0,,
