location,pool_id,average_nonnative_pc,average_native_pc,restoration_year
delsol_caminocorto,2,34.65853659,49.03658537,1997
delsol_caminocorto,2,45.85714286,61.10204082,1997
delsol_caminocorto,3,45.21323529,53.29411765,1997
delsol_caminocorto,3,56.26984127,68.66666667,1997
delsol_caminocorto,4,35.1011236,48.40449438,1997
delsol_caminocorto,4,71.29824561,53.07017544,1997
delsol_caminocorto,5,18.16981132,76.39622642,1997
delsol_caminocorto,5,49.32307692,63.03076923,1997
delsol_caminocorto,6,60.496,59.608,1997
delsol_caminocorto,6,29.34745763,56.40677966,1997
delsol_caminocorto,7,40.94736842,51.14035088,1997
delsol_caminocorto,7,40.94736842,115,1997
delsol_caminocorto,7,0,51.14035088,1997
delsol_caminocorto,7,0,115,1997
delsol_caminocorto,7,46.31578947,77.69473684,1997
delsol_caminocorto,8,45.52873563,36.50574713,1997
delsol_caminocorto,8,59,55.92857143,1997
delsol_caminocorto,E,22.14084507,83.42253521,1986
delsol_caminocorto,E,43.13461538,71.02884615,1986
delsol_caminocorto,F,59.37142857,57.43809524,1991
delsol_caminocorto,F,84.23076923,31.19230769,1991
delsol_caminocorto,G,26.32,87.68,1986
delsol_caminocorto,G,64.12195122,75.92682927,1986
delsol_caminocorto,H,53.85714286,27,1986
delsol_caminocorto,H,83.20588235,34.88235294,1986
delsol_caminocorto,I,138.2727273,0,1986
delsol_caminocorto,I,100.9347826,14.52173913,1986
delsol_caminocorto,J,59.94736842,23.26315789,1986
delsol_caminocorto,J,521.6538462,32.69230769,1986
delsol_caminocorto,K,77.75757576,36.42424242,1986
delsol_caminocorto,K,104.6153846,26.90769231,1986
delsol_caminocorto,L,124.5192308,25.82692308,1986
delsol_caminocorto,L,140.375,3.15,1986
delsol_caminocorto,M,3,88,1986
delsol_caminocorto,M,84.025,39,1986
delsol_caminocorto,N,45.08045977,65.08045977,1986
delsol_caminocorto,N,16.8,81.25,1986
delsol_caminocorto,S,19.92424242,81.8030303,1997
delsol_caminocorto,S,54.55737705,91.50819672,1997
delsol_caminocorto,T,61.54411765,27.32352941,1997
delsol_caminocorto,T,77.73239437,15.76056338,1997
delsol_caminocorto,U,43.95959596,80.2020202,1997
delsol_caminocorto,U,78.85333333,93.32,1997
delsol_caminocorto,V,22.27184466,80.39805825,1997
delsol_caminocorto,V,38.95959596,69.90909091,1997
delsol_caminocorto,W,13.09375,79.171875,1986
delsol_caminocorto,W,51.28571429,75.71428571,1986
ellwood_mesa,1,25.49606299,61.73228346,1980
ellwood_mesa,2,93.71875,1.375,1980
ellwood_mesa,2,101,6.666666667,1980
ellwood_mesa,3,92.72413793,6.344827586,1980
ellwood_mesa,3,106.5,15.94444444,1980
ellwood_mesa,4,100.1428571,7.028571429,1980
ellwood_mesa,4,100.1428571,2.824561404,1980
ellwood_mesa,4,74.80701754,7.028571429,1980
ellwood_mesa,4,74.80701754,2.824561404,1980
ellwood_mesa,4,115.3478261,2.434782609,1980
ellwood_mesa,5,121.852459,8.639344262,1980
ellwood_mesa,Reference,79.62068966,32.10344828,1980
ellwood_mesa,Reference,97.05128205,36.43589744,1980
manzanita_village,Anacapa East,77.5,100,2002
manzanita_village,Anacapa West,42.08333333,114.9166667,2002
manzanita_village,Anacapa West,42.08333333,85.29787234,2002
manzanita_village,Anacapa West,38.57446809,114.9166667,2002
manzanita_village,Anacapa West,38.57446809,85.29787234,2002
manzanita_village,Chumash,45,82.66666667,2002
manzanita_village,Chumash,45,36.26086957,2002
manzanita_village,Chumash,49.08695652,82.66666667,2002
manzanita_village,Chumash,49.08695652,36.26086957,2002
manzanita_village,San Miguel,54.92857143,80.17857143,2002
manzanita_village,San Miguel,54.92857143,155.4117647,2002
manzanita_village,San Miguel,28.97058824,80.17857143,2002
manzanita_village,San Miguel,28.97058824,155.4117647,2002
manzanita_village,Santa Barbara,32.1,148.9375,2002
manzanita_village,Santa Catalina,24.24324324,93.86486486,2002
manzanita_village,Santa Catalina,24.24324324,85.48387097,2002
manzanita_village,Santa Catalina,19.35483871,93.86486486,2002
manzanita_village,Santa Catalina,19.35483871,85.48387097,2002
manzanita_village,Santa Cruz,6.75,138.9166667,2002
manzanita_village,Santa Cruz,6.75,123.5714286,2002
manzanita_village,Santa Cruz,22.14285714,138.9166667,2002
